RK,Name,POS,GP,AB,R,H,AVG,2B,3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR,Year
16,Carl Demonte CrawfordTB,LF,154,600,110,184,0.307,30,13,19,90,297,46,104,47,0.356,0.495,0.851,6.6,2010
16,Ryan ZimmermanWSH,1B,142,525,85,161,0.307,32,0,25,85,268,69,98,4,0.388,0.51,0.899,6.0,2010
18,Ryan BraunMIL,RF,157,619,101,188,0.304,45,1,25,103,310,56,105,14,0.365,0.501,0.866,5.5,2010
19,Victor MartinezBOS,DH,127,493,64,149,0.302,32,1,20,79,243,40,52,1,0.351,0.493,0.844,3.3,2010
20,Starlin CastroCHC,3B,125,463,53,139,0.3,31,5,3,41,189,29,71,10,0.347,0.408,0.755,1.4,2010
21,Hanley RamirezFLA,SS,142,543,92,163,0.3,28,2,21,76,258,64,93,32,0.378,0.475,0.853,2.6,2010
22,Vladimir GuerreroTEX,RF,152,593,83,178,0.3,27,1,29,115,294,35,60,4,0.345,0.496,0.841,1.4,2010
23,Shin-Soo ChooCLE,LF,144,550,81,165,0.3,31,2,22,90,266,83,118,22,0.401,0.484,0.885,5.6,2010
24,Delmon YoungMIN,RF,153,570,77,170,0.298,46,1,21,112,281,28,81,5,0.333,0.493,0.826,1.5,2010
25,Placido PolancoPHI,3B,132,554,76,165,0.298,27,2,6,52,214,32,47,5,0.339,0.386,0.726,3.1,2010
26,Adrian GonzalezSD,1B,160,591,87,176,0.298,33,0,31,101,302,93,114,0,0.393,0.511,0.904,4.1,2010
27,Nick MarkakisBAL,LF,160,629,79,187,0.297,45,3,12,60,274,73,93,7,0.37,0.436,0.805,2.0,2010
28,Scott PodsednikKC/LAD,LF,134,539,63,160,0.297,14,7,6,51,206,40,83,35,0.342,0.382,0.724,-0.8,2010
29,Jayson WerthPHI,LF,156,554,106,164,0.296,46,2,27,85,295,82,147,13,0.388,0.532,0.921,4.3,2010
30,Evan LongoriaTB,3B,151,574,96,169,0.294,46,5,22,104,291,72,124,15,0.372,0.507,0.879,7.8,2010
31,Marlon ByrdCHC,RF,152,580,84,170,0.293,39,2,12,66,249,31,98,5,0.346,0.429,0.775,3.5,2010
32,Austin JacksonDET,CF,151,618,103,181,0.293,34,10,4,41,247,47,170,27,0.345,0.4,0.745,4.8,2010
33,Andre EthierLAD,RF,139,517,71,151,0.292,33,1,23,82,255,59,102,2,0.364,0.493,0.857,1.7,2010
34,Angel PaganNYM,LF,151,579,80,168,0.29,31,7,11,69,246,44,97,37,0.34,0.425,0.765,5.1,2010
35,Aubrey HuffSF,1B,157,569,100,165,0.29,35,5,26,86,288,83,91,7,0.385,0.506,0.891,5.5,2010
