rank,Youtuber,subscribers_1000s,video_views_1000s,video count,category,started
370,AS Gaming,19300.0,2723436.463,1162,Gaming,2016
371,DLS News,19200.0,2121565.247,4236,News & Politics,2017
372,CookieSwirlC,19200.0,22237069.987,3672,Entertainment,2013
373,Britain's Got Talent,19200.0,10889227.075,3895,Entertainment,2008
374,TRT Originals Urdu,19200.0,8156214.356,893,Entertainment,2020
375,DUDU e CAROL,19200.0,7873019.936,2912,Autos & Vehicles,2013
376,MiawAug,19200.0,5689128.704,3512,Gaming,2014
377,Crafty Panda,19100.0,5855601.545,710,People & Blogs,2017
378,Shorts Break,19000.0,13219096.854,360,Comedy,2021
379,SCTV,19000.0,9363650.74,49908,Entertainment,2011
380,Jimmy Kimmel Live,19000.0,12862875.463,6396,Entertainment,2006
381,Official Pink Panther,19000.0,10429600.623,679,Film & Animation,2013
382,Lil Nas X,18900.0,6052128.036,37,Music,2018
383,Emiway Bantai,18900.0,3279371.483,217,Music,2013
384,Sonotek,18900.0,7404509.043,8229,Entertainment,2011
385,Sidhu Moose Wala,18900.0,5336085.449,112,Music,2017
386,Stokes Twins,18800.0,3714965.491,238,People & Blogs,2008
387,Vijay Television,18800.0,24326316.08,38824,Entertainment,2007
388,ElTrollino,18800.0,5851896.758,1540,Entertainment,2013
389,MrBeast 2,18700.0,2793118.924,108,People & Blogs,2020
390,TheOdd1sOut,18700.0,4345290.596,131,Comedy,2014
391,Мирошка ТВ,18700.0,4811217.017,98,Education,2018
392,FIFA,18700.0,5139562.145,10453,Sports,2006
393,Calvin Harris,18700.0,15454447.401,76,Music,2007
394,Cardi B,18700.0,7383903.22,60,People & Blogs,2016
395,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,18700.0,6774017.644,210,Education,2017
396,Bizarrap,18700.0,6430838.652,80,Comedy,2017
397,CKN,18600.0,11977126.148,474,Entertainment,2015
398,The ACE Family,18600.0,4540346.49,706,People & Blogs,2016
399,etvteluguindia,18600.0,21497718.532,119332,Entertainment,2010
400,KBS WORLD TV,18600.0,14569120.374,61450,Entertainment,2007
401,HiMan,18600.0,2650873.214,352,People & Blogs,2014
402,Zach Choi ASMR,18500.0,4157042.212,752,People & Blogs,2014
403,Turma da Mônica,18500.0,13490123.625,1134,Film & Animation,2012
404,Vsauce,18400.0,2557353.353,420,Science & Technology,2007
405,shakiraVEVO,18400.0,23892597.08,191,Music,2009
406,TheWillyrex,18400.0,6979614.274,6820,Comedy,2011
407,That Little Puff,18400.0,16213709.704,657,Pets & Animals,2020
408,7clouds,18400.0,13206465.175,2205,Music,2013
409,Farruko,18400.0,9074558.98,204,Music,2009
410,Little Angel Español - Canciones Infantiles,18400.0,9003098.515,643,Education,2018
411,Vlad and Niki ESP,18400.0,7037764.369,465,,2018
412,PDK Films,18300.0,4037329.932,111,Entertainment,2009
413,Познаватель,18300.0,9153173.579,500,Entertainment,2014
414,SOMOY TV,18300.0,10846023.073,124968,News & Politics,2015
415,Dan-Sa / Daniel Saboya,18300.0,6344092.734,2425,Music,2007
416,INCRÍVEL,18200.0,3131767.184,6252,People & Blogs,2017
417,TED-Ed,18200.0,3479080.996,2012,Education,2011
418,Unbox Therapy,18200.0,4418541.861,2104,Science & Technology,2010
419,Ali-A,18200.0,5892407.957,4024,Gaming,2006
420,RKD Studios,18200.0,4892948.646,752,Entertainment,2014
421,Sony AATH,18200.0,12577048.272,16726,Shows,2013
422,Naisa Alifia Yuriza (N.A.Y),18100.0,2728361.667,1512,People & Blogs,2017
423,GEN HALILINTAR,18100.0,3227835.973,999,Entertainment,2015
424,YOLO,18100.0,1098449.542,185,Comedy,2015
425,Marmok,18100.0,3297705.135,357,Gaming,2008
426,Alan Chikin Chow,18100.0,19334055.018,681,Comedy,2020
427,LIV Crime,18100.0,9295070.779,7119,People & Blogs,2020
428,Good Mythical Morning,18100.0,8453865.171,3145,Entertainment,2008
429,Like Nastya Vlog,18100.0,7855376.67,449,People & Blogs,2016
430,Masha e o Urso,18100.0,7771228.608,964,Shows,2016
431,unknown boy varun,18100.0,6932657.28,320,Music,2016
