RK,Name,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD,Year
2,Demaryius ThomasDEN,WR,2,10,16,297,29.7,1,80,4,148.5,0,0,149,8,2011
3,Vernon DavisSF,TE,2,10,15,292,29.2,4,73,6,146.0,0,0,120,7,2011
4,Victor CruzNYG,WR,4,21,31,269,12.8,1,36,2,67.3,0,0,49,17,2011
5,Rob GronkowskiNE,TE,3,17,23,258,15.2,3,28,6,86.0,0,0,79,15,2011
6,Marques ColstonNO,WR,2,16,19,256,16.0,1,40,5,128.0,1,1,36,14,2011
7,Calvin JohnsonDET,WR,1,12,15,211,17.6,2,42,4,211.0,0,0,68,10,2011
8,Andre JohnsonHOU,WR,2,13,24,201,15.5,1,40,2,100.5,0,0,17,11,2011
9,Mario ManninghamNYG,WR,4,13,22,189,14.5,3,38,2,47.3,0,0,26,10,2011
10,Aaron HernandezNE,TE,3,19,31,188,9.9,2,20,1,62.7,0,0,82,12,2011
11,Anquan BoldinBAL,WR,2,10,16,174,17.4,1,37,4,87.0,1,0,58,7,2011
12,Wes WelkerNE,WR,3,19,23,168,8.8,1,19,0,56.0,0,0,34,9,2011
13,Jimmy GrahamNO,TE,2,12,19,158,13.2,3,66,1,79.0,0,0,52,8,2011
14,Darren SprolesNO,RB,2,19,24,152,8.0,1,44,1,76.0,0,0,115,6,2011
15,Deion BranchNE,WR,3,8,13,148,18.5,1,61,1,49.3,0,0,44,7,2011
16,Robert MeachemNO,WR,2,7,12,130,18.6,1,56,2,65.0,0,0,20,3,2011
17,Ahmad BradshawNYG,RB,4,16,21,114,7.1,0,30,1,28.5,0,0,98,3,2011
18,Devery HendersonNO,WR,2,6,10,113,18.8,1,41,2,56.5,0,0,13,5,2011
19,Torrey SmithBAL,WR,2,4,9,91,22.8,1,42,2,45.5,0,0,29,3,2011
20,Frank GoreSF,RB,2,13,15,83,6.4,0,24,1,41.5,0,0,90,3,2011
21,Emmanuel SandersPIT,WR,1,6,8,81,13.5,0,18,0,81.0,0,0,32,3,2011
22,Eddie RoyalDEN,WR,2,5,15,74,14.8,1,30,1,37.0,0,0,17,4,2011
23,Dennis PittaBAL,TE,2,7,12,70,10.0,1,16,0,35.0,0,0,9,5,2011
23,Antonio BrownPIT,WR,1,5,7,70,14.0,0,25,2,70.0,0,0,20,4,2011
25,Lee EvansBAL,WR,2,4,5,69,17.3,0,30,2,34.5,0,0,7,3,2011
26,Julio JonesATL,WR,1,7,8,64,9.1,0,20,1,64.0,0,0,0,2,2011
27,Heath MillerPIT,TE,1,5,7,60,12.0,0,33,1,60.0,0,0,44,2,2011
27,Pierre ThomasNO,RB,2,7,7,60,8.6,0,14,0,30.0,1,1,3,3,2011
29,Daniel FellsDEN,TE,2,2,2,57,28.5,0,40,1,28.5,0,0,10,2,2011
30,Owen DanielsHOU,TE,2,4,9,55,13.8,0,21,1,27.5,0,0,6,3,2011
31,Roddy WhiteATL,WR,1,5,12,52,10.4,0,21,1,52.0,0,0,0,2,2011
32,Arian FosterHOU,RB,2,8,8,51,6.4,0,16,0,25.5,0,0,37,4,2011
33,Nate BurlesonDET,WR,1,4,5,50,12.5,0,21,2,50.0,0,0,15,2,2011
34,Danny WoodheadNE,RB,3,5,6,49,9.8,1,19,0,16.3,0,0,2,3,2011
34,Brandon PettigrewDET,TE,1,4,5,49,12.3,0,22,1,49.0,0,0,15,2,2011
36,A.J. GreenCIN,WR,1,5,12,47,9.4,0,21,1,47.0,0,0,10,2,2011
37,Jermaine GreshamCIN,TE,1,5,6,46,9.2,0,16,0,46.0,0,0,24,2,2011
38,Donald DriverGB,WR,1,3,3,45,15.0,1,16,0,45.0,0,0,0,3,2011
38,Travis BeckumNYG,TE,4,7,8,45,6.4,0,12,0,11.3,0,0,27,4,2011
40,Tony GonzalezATL,TE,1,4,6,44,11.0,0,16,0,44.0,0,0,0,4,2011
41,Jake BallardNYG,TE,4,5,15,43,8.6,0,17,0,10.8,0,0,9,2,2011
42,Greg JenningsGB,WR,1,4,7,40,10.0,0,14,0,40.0,0,0,7,3,2011
43,Jordy NelsonGB,WR,1,3,7,39,13.0,0,17,0,39.0,0,0,7,3,2011
43,Bear PascoeNYG,TE,4,5,5,39,7.8,1,12,0,9.8,0,0,20,3,2011
43,Henry HynoskiNYG,FB,4,5,5,39,7.8,0,13,0,9.8,0,0,32,3,2011
46,Randall CobbGB,WR,1,3,3,38,12.7,0,21,1,38.0,0,0,23,1,2011
47,Jermichael FinleyGB,TE,1,4,9,37,9.3,0,19,0,37.0,0,0,8,2,2011
47,Ed DicksonBAL,TE,2,3,8,37,12.3,0,16,0,18.5,0,0,37,1,2011
49,Donald LeeCIN,TE,1,1,1,36,36.0,0,36,1,36.0,0,0,23,1,2011
49,Kevin WalterHOU,WR,2,3,10,36,12.0,0,19,0,18.0,0,0,1,2,2011
1,Anquan BoldinBAL,WR,4,22,36,380,17.3,4,50,6,95.0,0,0,75,19,2012
2,Michael CrabtreeSF,WR,3,20,28,285,14.3,3,33,5,95.0,1,1,138,13,2012
3,Vernon DavisSF,TE,3,12,19,254,21.2,1,44,6,84.7,0,0,90,11,2012
4,Wes WelkerNE,WR,2,16,25,248,15.5,1,47,5,124.0,0,0,129,9,2012
5,Julio JonesATL,WR,2,17,23,241,14.2,2,46,5,120.5,0,0,60,12,2012
6,Torrey SmithBAL,WR,4,11,25,233,21.2,2,59,6,58.3,0,0,28,9,2012
7,Zach MillerSEA,TE,2,12,15,190,15.8,1,34,5,95.0,0,0,81,9,2012
8,Roddy WhiteATL,WR,2,12,24,176,14.7,1,47,2,88.0,0,0,11,9,2012
9,Owen DanielsHOU,TE,2,18,25,172,9.6,0,24,1,86.0,0,0,59,8,2012
10,Aaron HernandezNE,TE,2,15,22,168,11.2,0,40,1,84.0,0,0,107,11,2012
11,Dennis PittaBAL,TE,4,14,19,163,11.6,3,24,3,40.8,0,0,67,10,2012
12,Andre JohnsonHOU,WR,2,12,16,157,13.1,0,22,2,78.5,0,0,27,9,2012
13,Jacoby JonesBAL,WR,4,5,11,147,29.4,2,70,2,36.8,0,0,35,3,2012
14,James JonesGB,WR,2,8,10,138,17.3,1,44,3,69.0,0,0,30,6,2012
14,Golden TateSEA,WR,2,10,13,138,13.8,1,29,2,69.0,0,0,32,7,2012
16,Tony GonzalezATL,TE,2,14,15,129,9.2,2,19,0,64.5,0,0,33,10,2012
